id_hogar;tipo_hogar;sanitaria;asentamiento;estrato_social;personas_mayores_14;personas_menores_14;numero
 16767;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico medio; 2; 1; 2017053540
 16769;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico bajo; 3; 0; 2017053545
 16770;Casa;Sí - con cisterna;NO;Nivel económico medio; 2; 0; 2017053549
 16771;Apartamento o casa en complejo habitacional;Sí - con cisterna;NO;Nivel económico medio - alto; 1; 0; 2017053557
 16772;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 2; 1; 2017053559
 16773;Casa;Sí - con cisterna;NO;Nivel económico bajo; 2; 3; 2017053560
 16774;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 2; 0; 2017053563
 16775;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico alto; 1; 0; 2017053564
 16776;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 2; 0; 2017053565
 16777;Casa;Sí - sin cisterna;NO;Nivel económico medio; 3; 2; 2017053577
 16778;Apartamento o casa en complejo habitacional;Sí - con cisterna;NO;Nivel económico medio - bajo; 3; 0; 2017053585
 16779;Casa;Sí - con cisterna;NO;Nivel económico bajo; 2; 0; 2017053592
 16780;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico bajo; 2; 0; 2017053596
 16781;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico medio - bajo; 4; 0; 2017053605
 16782;Casa;Sí - con cisterna;NO;Nivel económico alto; 8; 0; 2017053611
 16783;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 2; 1; 2017053613
 16784;Casa;Sí - con cisterna;NO;Nivel económico alto; 3; 1; 2017053614
 16785;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 4; 1; 2017053615
 16786;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 3; 1; 2017053616
 16787;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico medio - bajo; 2; 1; 2017053621
 16788;Casa;Sí - sin cisterna;NO;Nivel económico medio; 3; 0; 2017053626
 16789;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 1; 0; 2017053629
 16790;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 1; 0; 2017053633
 16791;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 1; 0; 2017053637
 16792;Casa;Sí - con cisterna;NO;Nivel económico medio - alto; 4; 0; 2017053640
 16793;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico medio; 2; 1; 2017053643
 16794;Casa;Sí - con cisterna;NO;Nivel económico bajo; 2; 0; 2017053646
 16795;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 2; 1; 2017053650
 16796;Apartamento o casa en complejo habitacional;Sí - con cisterna;NO;Nivel económico medio - alto; 3; 0; 2017053651
 16797;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico alto; 2; 0; 2017053653
 16798;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 1; 0; 2017053658
 16799;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico alto; 2; 2; 2017053668
 16800;Casa;Sí - con cisterna;NO;Nivel económico medio - alto; 3; 0; 2017053670
 16802;Apartamento o casa en complejo habitacional;Sí - con cisterna;NO;Nivel económico medio; 1; 0; 2017053675
 16803;Apartamento o casa en complejo habitacional;Sí - con cisterna;NO;Nivel económico medio - bajo; 1; 0; 2017053677
 16804;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico medio; 1; 0; 2017053678
 16805;Casa;Sí - con cisterna;NO;Nivel económico medio; 2; 1; 2017053682
 16806;Casa;Sí - con cisterna;NO;Nivel económico medio - alto; 2; 0; 2017053684
 16807;Casa;Sí - con cisterna;Sí;Nivel económico bajo; 3; 3; 2017053687
 16808;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico alto; 2; 0; 2017053690
 16809;Casa;Sí - con cisterna;NO;Nivel económico medio - alto; 2; 0; 2017053696
 16810;Casa;Sí - con cisterna;NO;Nivel económico medio; 3; 1; 2017053700
 16811;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico medio - bajo; 2; 0; 2017053704
 16812;Casa;Sí - con cisterna;NO;Nivel económico medio; 3; 0; 2017053707
 16813;Casa;Sí - con cisterna;NO;Nivel económico medio; 2; 0; 2017053709
 16814;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 1; 0; 2017053714
 16815;Casa;Sí - con cisterna;NO;Nivel económico medio; 3; 1; 2017053716
 16816;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 1; 0; 2017053724
 16817;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico bajo; 2; 0; 2017053725
 16818;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 1; 0; 2017053732
 16819;Casa;Sí - con cisterna;NO;Nivel económico bajo; 2; 0; 2017053733
 16820;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico medio - alto; 2; 2; 2017053734
 16821;Casa;Sí - con cisterna;NO;Nivel económico medio; 4; 1; 2017053737
 16822;Casa;Sí - con cisterna;NO;Nivel económico medio; 5; 0; 2017053738
 16823;Casa;Sí - con cisterna;NO;Nivel económico alto; 2; 2; 2017053741
 16824;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico alto; 2; 2; 2017053743
 16825;Casa;Sí - sin cisterna;Sí;Nivel económico medio - bajo; 1; 0; 2017053744
 16826;Casa;Sí - sin cisterna;Sí;Nivel económico bajo; 4; 4; 2017053746
 16827;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio; 2; 0; 2017053749
 16828;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico alto; 1; 0; 2017053752
 16829;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 6; 4; 2017053757
 16830;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 1; 0; 2017053759
 16831;Casa;Sí - con cisterna;NO;Nivel económico bajo; 3; 0; 2017053763
 16832;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico medio; 4; 2; 2017053767
 16833;Casa;Sí - con cisterna;NO;Nivel económico medio; 2; 0; 2017053768
 16834;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico alto; 4; 0; 2017053774
 16835;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - bajo; 1; 0; 2017053781
 16836;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - bajo; 2; 0; 2017053784
 16837;Apartamento o casa en complejo habitacional;Sí - con cisterna;NO;Nivel económico bajo; 4; 0; 2017053787
 16838;Casa;Sí - con cisterna;NO;Nivel económico medio; 2; 0; 2017053793
 16839;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico medio - bajo; 2; 0; 2017053794
 16840;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 2; 0; 2017053797
 16841;Casa;Sí - con cisterna;NO;Nivel económico bajo; 1; 0; 2017053799
 16842;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico bajo; 2; 1; 2017053804
 16843;Casa;Sí - con cisterna;NO;Nivel económico medio; 2; 0; 2017053807
 16844;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio; 2; 0; 2017053808
 16845;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico alto; 1; 0; 2017053812
 16846;Apartamento o casa en complejo habitacional;Sí - con cisterna;NO;Nivel económico bajo; 1; 0; 2017053816
 16847;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico alto; 2; 0; 2017053820
 16848;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 3; 0; 2017053821
 16849;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico alto; 1; 0; 2017053823
 16850;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 1; 0; 2017053833
 16851;Casa;Sí - con cisterna;NO;Nivel económico medio; 2; 0; 2017053835
 16852;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio; 1; 0; 2017053840
 16853;Casa;Sí - sin cisterna;Sí;Nivel económico bajo; 2; 0; 2017053845
 16854;Casa;Sí - con cisterna;NO;Nivel económico medio; 2; 0; 2017053847
 16855;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 1; 0; 2017053848
 16856;Casa;Sí - con cisterna;NO;Nivel económico bajo; 2; 0; 2017053852
 16857;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico medio - bajo; 1; 0; 2017053853
 16858;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico alto; 3; 0; 2017053858
 16859;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 1; 3; 2017053862
 16860;Apartamento o casa en complejo habitacional;Sí - con cisterna;NO;Nivel económico bajo; 2; 0; 2017053863
 16861;Casa;Sí - con cisterna;NO;Nivel económico medio; 3; 2; 2017053864
 16862;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 1; 0; 2017053866
 16863;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico medio - alto; 2; 0; 2017053871
 16864;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico bajo; 2; 0; 2017053873
 16865;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 2; 1; 2017053875
 16866;Casa;Sí - con cisterna;NO;Nivel económico medio - alto; 1; 0; 2017053877
 16867;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio; 2; 0; 2017053881
 16868;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico alto; 2; 3; 2017053884
 16869;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico alto; 2; 0; 2017053885
 16870;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 2; 1; 2017053891
 16871;Casa;Sí - con cisterna;NO;Nivel económico alto; 2; 0; 2017053892
 16872;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico medio - bajo; 3; 0; 2017053893
 16873;Casa;Sí - con cisterna;NO;Nivel económico alto; 5; 0; 2017053896
 16874;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico alto; 2; 0; 2017053898
 16875;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 1; 0; 2017053903
 16876;Casa;Sí - con cisterna;NO;Nivel económico bajo; 4; 0; 2017053907
 16877;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 3; 3; 2017053908
 16878;Casa;Sí - con cisterna;NO;Nivel económico medio; 2; 0; 2017053911
 16879;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico bajo; 1; 0; 2017053912
 16880;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico alto; 2; 0; 2017053913
 16881;Apartamento o casa en complejo habitacional;Sí - con cisterna;NO;Nivel económico medio - bajo; 1; 0; 2017053914
 16882;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 1; 1; 2017053916
 16883;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico medio; 2; 0; 2017053930
 16884;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico medio; 1; 0; 2017053934
 16885;Apartamento o casa en complejo habitacional;Sí - con cisterna;NO;Nivel económico medio; 1; 0; 2017053935
 16886;Casa;Sí - con cisterna;NO;Nivel económico bajo; 2; 1; 2017053937
 16887;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 3; 2; 2017053947
 16888;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico alto; 2; 0; 2017053953
 16889;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 1; 0; 2017053954
 16890;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 1; 0; 2017053955
 16891;Apartamento o casa en complejo habitacional;Sí - con cisterna;NO;Nivel económico medio - bajo; 1; 0; 2017053956
 16892;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 1; 0; 2017053962
 16893;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico alto; 4; 0; 2017053963
 16894;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico alto; 3; 0; 2017053964
 16895;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 2; 0; 2017053966
 16896;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 2; 0; 2017053974
 16897;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 2; 0; 2017053976
 16898;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 1; 0; 2017053979
 16899;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio; 1; 0; 2017053985
 16900;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 2; 2; 2017053988
 16943;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico medio - bajo; 2; 1; 2017054105
 16944;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico medio - alto; 2; 0; 2017054106
 16945;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio; 1; 0; 2017054109
 16946;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 4; 0; 2017054111
 16947;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico medio - alto; 2; 1; 2017054116
 16948;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 4; 2; 2017054117
 16949;Apartamento o casa en complejo habitacional;Sí - con cisterna;NO;Nivel económico medio - bajo; 3; 1; 2017054125
 16950;Casa;Sí - con cisterna;Sí;Nivel económico bajo; 3; 1; 2017054126
 16951;Apartamento o casa en complejo habitacional;Sí - con cisterna;NO;Nivel económico medio - alto; 1; 0; 2017054131
 16952;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio; 2; 0; 2017054134
 16953;Casa;Sí - con cisterna;Sí;Nivel económico bajo; 2; 0; 2017054138
 16954;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 2; 1; 2017054139
 16955;Casa;Sí - con cisterna;NO;Nivel económico bajo; 1; 0; 2017054142
 16956;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio; 1; 0; 2017054159
 16957;Apartamento o casa en complejo habitacional;Sí - con cisterna;NO;Nivel económico medio - alto; 1; 0; 2017054165
 16958;Casa;Sí - con cisterna;NO;Nivel económico medio; 1; 0; 2017054171
 16959;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 5; 0; 2017054176
 16960;Apartamento o casa en complejo habitacional;Sí - con cisterna;NO;Nivel económico medio; 2; 2; 2017054179
 16961;Casa;Sí - con cisterna;NO;Nivel económico medio; 4; 0; 2017054184
 16962;Casa;Sí - con cisterna;NO;Nivel económico bajo; 3; 0; 2017054186
 16963;Casa;Sí - con cisterna;NO;Nivel económico medio; 2; 0; 2017054190
 16964;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 1; 0; 2017054192
 16965;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio; 1; 0; 2017054193
 16966;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico medio - bajo; 2; 0; 2017054195
 16967;Casa;Sí - con cisterna;NO;Nivel económico bajo; 2; 0; 2017054196
 16968;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 2; 1; 2017054197
 16969;Casa;Sí - con cisterna;NO;Nivel económico medio; 3; 0; 2017054202
 16970;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 2; 0; 2017054203
 16971;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio; 2; 0; 2017054205
 16972;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 1; 0; 2017054213
 16973;Apartamento o casa en complejo habitacional;Sí - con cisterna;NO;Nivel económico medio - bajo; 1; 0; 2017054214
 16974;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico medio; 3; 0; 2017054215
 16975;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico medio - alto; 3; 1; 2017054216
 16976;Casa;Sí - con cisterna;NO;Nivel económico alto; 1; 0; 2017054219
 16977;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 3; 1; 2017054222
 16978;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico alto; 2; 0; 2017054228
 16979;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - bajo; 1; 0; 2017054229
 16980;Casa;Sí - con cisterna;NO;Nivel económico bajo; 2; 2; 2017054231
 16981;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico alto; 1; 0; 2017054232
 16982;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio; 1; 0; 2017054234
 16983;Casa;Sí - con cisterna;NO;Nivel económico bajo; 1; 0; 2017054238
 16984;Casa;Sí - con cisterna;NO;Nivel económico alto; 2; 2; 2017054243
 16985;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 1; 0; 2017054244
 16986;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico medio - bajo; 1; 0; 2017054250
 16987;Casa;Sí - con cisterna;NO;Nivel económico bajo; 2; 0; 2017054256
 16988;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 4; 0; 2017054257
 16989;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico medio; 4; 2; 2017054258
 16990;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 1; 0; 2017054261
 16991;Casa;Sí - con cisterna;NO;Nivel económico medio; 2; 0; 2017054262
 16992;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 1; 0; 2017054267
 16993;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 4; 0; 2017054269
 16994;Casa;Sí - con cisterna;NO;Nivel económico alto; 2; 0; 2017054271
 16995;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 2; 3; 2017054273
 16996;Casa;Sí - con cisterna;NO;Nivel económico medio; 3; 1; 2017054280
 16997;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio; 1; 0; 2017054281
 16998;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio; 2; 0; 2017054283
 16999;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 1; 0; 2017054286
 17000;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 2; 1; 2017054287
 17021;Casa;Sí - con cisterna;NO;Nivel económico bajo; 3; 0; 2017054365
 17022;Casa;Sí - con cisterna;NO;Nivel económico medio - alto; 2; 0; 2017054369
 17023;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 1; 0; 2017054370
 17024;Casa;Sí - con cisterna;NO;Nivel económico medio; 1; 0; 2017054375
 17025;Casa;Sí - con cisterna;NO;Nivel económico medio; 1; 1; 2017054377
 17026;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio; 3; 0; 2017054379
 17027;Apartamento en edificio de una planta;Sí - sin cisterna;NO;Nivel económico medio - bajo; 4; 1; 2017054387
 17028;Apartamento en edificio de una planta;Sí - con cisterna;Sí;Nivel económico bajo; 5; 0; 2017054388
 17029;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico alto; 1; 0; 2017054389
 17030;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 2; 0; 2017054397
 17031;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico medio; 2; 2; 2017054399
 17032;Casa;Sí - con cisterna;NO;Nivel económico medio - alto; 3; 0; 2017054402
 17033;Apartamento o casa en complejo habitacional;Sí - con cisterna;NO;Nivel económico medio - alto; 1; 0; 2017054403
 17034;Casa;Sí - con cisterna;NO;Nivel económico alto; 2; 0; 2017054406
 17035;Casa;Sí - con cisterna;NO;Nivel económico medio; 1; 0; 2017054409
 17036;Casa;Sí - con cisterna;NO;Nivel económico medio; 2; 0; 2017054410
 17037;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico alto; 2; 0; 2017054416
 17038;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico medio; 2; 0; 2017054417
 17039;Casa;Sí - con cisterna;NO;Nivel económico medio; 2; 0; 2017054418
 17040;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio; 2; 0; 2017054423
 17041;Casa;Sí - con cisterna;NO;Nivel económico medio - alto; 1; 0; 2017054425
 17042;Casa;Sí - con cisterna;NO;Nivel económico alto; 3; 1; 2017054433
 17043;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico alto; 3; 0; 2017054436
 17044;Apartamento en edificio de una planta;Sí - con cisterna;NO;Nivel económico alto; 2; 0; 2017054437
 17045;Apartamento o casa en complejo habitacional;Sí - con cisterna;NO;Nivel económico alto; 1; 0; 2017054442
 17046;Apartamento en edificio de altura;Sí - con cisterna;NO;Nivel económico medio - alto; 1; 0; 2017054444
 17047;Apartamento o casa en complejo habitacional;Sí - con cisterna;NO;Nivel económico medio; 5; 0; 2017054450
 17048;Casa;Sí - con cisterna;NO;Nivel económico medio - bajo; 2; 0; 2017054452
